transactionID,commissionType,itemNo,listPrice,lineDiscount,CommRate,CommEmplId,CommEmplType,mkupStoreQty,approvalTime,discountType,operatorId,altPhoneNumber,transactionType,transactionSubType,rentalId,discountAmount,discountConversion,CommsaleAmt1,CommsaleAmt2,CommsaleAmt3,description1,description2,description3,markDown1,markDown2,markDown3,commEmplPercentUsed,firstName,lastName,phone,tranDate,taxAmt,svChanged1,svChanged2,svChanged3,longMrkdn1,longMrkdn2,longMrkdn3,type,auditFlag,certNo,voidReason,returnTrans,ccName,r2rReserNo,shipMethod,authTerminalId,shipComment,shipFName,shipLName,shipAddr,shipCity,shipState,shipZip,shipDate,mbaOrderId,handTktNo,tryPointer,timeOut,timeIn,timeDone,attemptType,attemptAmt,acctMethod,authMethod,giftCertControlNum,maskedAcctNo,shipCarrier1,shipCarrier2,shipCarrier3,shipTrackNo1,shipTrackNo2,shipTrackNo3,signMethod,pfPoints,likeTenderOverrideMgrId,pfFriendId,ercptEmail,couponCode1,couponCode2,couponCode3,discountPodType1,discountPodType2,discountPodType3,discountPodAmt1,discountPodAmt2,discountPodAmt3,discountReasonCode1,discountReasonCode2,discountReasonCode3,discountReasonText,promosId1,promosId2,promosId3,inAdditionToMrkdn1,inAdditionToMrkdn2,inAdditionToMrkdn3,discCnvMrkdn1,discCnvMrkdn2,discCnvMrkdn3,reservation1,reservation2,reservation3,advertCode,corpAcctNo,likeTenderOverrideMgrId
1200*18*7631,MTR1,27938207,15,33.58,0.623,,TMW*CONS*SALECNS,1,9:08:05 PM,,732302,796 814 9504,VSAL,CF.CANCEL,29317230,13,1,150.69,190.78,57,at feugiat,curae nulla dapibus dolor,suspendisse accumsan tortor,62.44,87.01,161.65,100,Colly,Hufton,532-704-9867,180719,7.8,43.48,12.12,61.61,279.2,371.1,19.33,BCRD,D.D.RETURNED.RETURNED.RETURNED.RETURNED.RETURNED.,1446788644553315,,1203*51*7876,ETHYL SPERWELL,720653703,UNDA,,26091,ETHYL,SPERWELL,011 Derek Point,Austin,Texas,57236,180492,942909664*5,,,7:04 AM,11:34 PM,6:02 PM,BCRD,156.72,5,E,,571483******2656,UPS,UPS,UPS,895297049165,765545862171,1603502476979,E,183,,,,XDOZ441237967478,TNCP041485554874,VPEA789590306089,$,%,$,25.01,20.11,11.89,1,1,1,,MMUV,MMUV,ANUB,1,1,1,1,1,1,188420329,647826448,790343145,,,
1247*83*6513,MTR1,18612553,55,87.95,0.886,597463,TMW*CONS*SALECNS,1,12:10:55 AM,13,553219,249 828 5980,VSAL,CF.CANCEL,19515939,12,1,142.19,132.65,113.9,ultrices enim,tellus nulla,dui proin,25.6,186.26,17.53,100,Hedi,Stanlock,320-836-4504,180342,9.4,157.47,64.88,144.94,127.37,175.22,70.34,CASH,D.D.,2351673963459461,,7047*48*2329,KATHARINA ALTEN,928797573,UNDA,,23378,KATHARINA,ALTEN,39 Tomscot Center,Durham,North Carolina,1761,180511,420142621*8,,,12:08 AM,8:42 PM,7:44 PM,BCRD,15.96,5,E,,722958******5575,UPS,UPS,UPS,399746660616,885522970507,1220528856384,P,128,,,,UFAV680431226703,WPNF309525249902,LTBI277642919642,$,%,$,23.3,29.99,28.91,1,1,1,,MMTY,MMTY,MMTY,1,1,1,1,1,1,975674920,219455727,118779742,,,
6571*46*2300,MTR1,38155649,124,91.74,0.541,363932,TMW*CONS*SALECNS,1,4:29:32 PM,13,236342,990 712 8188,VSAL,CF.CANCEL,36959697,8,1,115.69,58.91,165.14,amet sem fusce,sollicitudin vitae consectetuer,amet nunc viverra,194.17,162.19,181.03,100,Marcie,Haycox,565-684-7423,180715,11.6,200.04,378.81,46.06,146.17,349.01,42.62,AMEX,.D.XCHG of trans # 4509*18*19376 (08-03-18).,2300015965867930,,7786*60*4940,YORGO DONAWAY,946788068,Ground,",.",25714,YORGO,DONAWAY,60 Hollow Ridge Pass,New Orleans,Louisiana,9981,180300,144265929*8,,,10:29 AM,7:24 AM,11:50 AM,AMEX,18.19,5,E,,984190******5487,UPS,UPS,UPS,872994563346,620770273296,1516050169572,P,15,,,,CWZU262808517186,GZHJ635436702363,TXWZ045992532717,%,$,$,12.29,10.13,24.56,1,1,1,,ANUB,MMTY,MMTY,1,1,1,1,1,1,277088796,790343145,984666741,,,
9298*27*6056,MTR1,16723126,95,79.11,0.632,763337,TMW*CONS*SALECNS,1,7:28:24 AM,13,820701,701 916 0612,VSAL,CF.CANCEL,34755352,7,1,12.36,179.13,167.15,sapien iaculis,odio porttitor,nunc purus phasellus in,83.76,13.06,134.86,100,Valry,Flips,124-617-8878,180249,5.2,53.43,358.14,25.83,158.87,274.3,40.33,AMEX,"D.D.PS.PRESALE XFER 64839612.""",2265066012056332,,9178*13*1753,HY CHELSOM,328308698,Ground,,24617,HY,CHELSOM,580 Crownhardt Lane,Alexandria,Virginia,10213,180495,602300891*8,,,1:15 AM,11:58 AM,4:42 PM,AMEX,19.68,5,E,,730300******4775,UPS,UPS,UPS,633136009891,135457683497,1937578547661,E,135,,,,HVON494012263167,BWDP188633283976,GATF044100715058,%,%,$,25.94,28.28,17.12,1,1,1,,ANUB,ANUB,MMTY,1,1,1,1,1,1,232380979,118779742,462093200,,,
8240*35*2527,MTR1,12997313,155,74.6,0.506,624036,TMW*CONS*SALECNS,1,3:59:49 AM,,447448,446 125 8740,VSAL,CF.CANCEL,27059865,14,1,189.91,55.21,52.94,morbi vel lectus in,convallis nulla neque,a pede posuere nonummy,83.08,163.4,102.53,100,Zelma,Minards,687-256-5653,180250,1.3,221.74,309.73,118.69,306.62,54.93,194.12,CASH,M.,2105448831263557,,5187*44*1625,VERENE JOZWIAK,157113259,UNDA,,23725,VERENE,JOZWIAK,562 Riverside Center,New Orleans,Louisiana,8761,180626,222848467*9,,,7:39 PM,8:54 AM,3:23 PM,AMEX,98.17,5,E,,871849******9664,UPS,UPS,UPS,646593510933,848662402617,1727575239379,P,143,,,,DFLA678644819084,AGVN477326042843,SHZE295811718836,%,$,%,12.3,24.18,11.15,1,1,1,,MMTY,MMUU,MMTY,1,1,1,1,1,1,12621174,984666741,256570442,,,
6121*88*4383,MTR1,37846023,71,26.45,0.296,727027,TMW*CONS*SALECNS,1,6:39:02 PM,,724927,360 451 7883,VSAL,CF.CANCEL,40035060,12,1,130.41,34.12,186.4,eget orci vehicula condimentum,lectus vestibulum,ultrices mattis,16.16,61.9,168.08,100,Bibi,Cundict,171-586-9229,180467,5.8,341.96,286.59,140.17,37.82,156.02,187.99,AMEX,D.D.D.D.,2374005921225622,,5037*32*6154,SHAE GEORGEOT,442963161,Ground,,26173,SHAE,GEORGEOT,644 Johnson Junction,Corona,California,88065,180986,520342153*4,,,7:31 PM,12:51 AM,9:23 PM,AMEX,130.61,5,E,,319617******1439,UPS,UPS,UPS,740827050566,522463479932,1715601871480,E,133,,,,EILW167688052375,KHTF656515974629,SWDF582956049051,$,$,$,28.84,29.5,13.12,1,1,1,,MMTY,ANUB,MMTY,1,1,1,1,1,1,915824844,462093200,51411000,,,
6584*35*2348,MTR1,18693810,143,65.4,0.665,,TMW*CONS*SALECNS,1,7:50:48 PM,,491569,274 844 5444,VSAL,CF.CANCEL,23071267,11,1,191.09,41.06,152.03,porta volutpat erat,pretium nisl,id mauris vulputate,53.86,175.62,122.68,100,Dylan,Winchurst,384-011-8600,180333,6.9,57.7,26.82,163.11,217.81,370.49,12.67,AMEX,D.,1243139801900927,,4070*68*8956,BRUIS TREECE,522218917,UNDA,,24290,BRUIS,TREECE,93 Weeping Birch Way,Saint Cloud,Minnesota,29267,180077,481095297*5,,,3:05 PM,1:10 AM,7:07 AM,CASH,89.7,5,E,,739067******7657,UPS,UPS,UPS,244732279693,725779953652,1850928915232,P,81,,,,BAIJ921318526424,YLXT193851022074,YOIB511861352727,$,%,%,23.07,16.02,13.61,1,1,1,,MMTY,MMTY,MMTY,1,1,1,1,1,1,149172108,256570442,497191972,,,
6127*10*4747,MTR1,43388154,109,70.83,0.613,665825,TMW*CONS*SALECNS,1,9:09:21 AM,,401788,764 182 0139,VSAL,CF.CANCEL,26144335,7,1,30.81,16.61,90.81,nunc commodo placerat praesent,sit amet sapien,id ornare imperdiet,104.56,195.2,191.97,100,Sashenka,Mandifield,256-519-5059,180837,6.8,151.88,245.2,195.19,367.51,277.19,125.07,AMEX,D.,2275973835425441,,8117*45*1142,MARGETTE LOCKITT,772277163,UNDA,,25469,MARGETTE,LOCKITT,0 Hanson Lane,Philadelphia,Pennsylvania,76988,180139,167033126*5,,,10:39 AM,11:16 PM,7:32 PM,CASH,148.47,5,E,,907273******3918,UPS,UPS,UPS,88482434895,852088530948,1851992575706,P,126,,,,CJUQ729306525164,FOGU127792483398,MWJP011476737186,%,$,$,12.06,21.39,27.74,1,1,1,,ANUB,ANUB,MMTY,1,1,1,1,1,1,737908976,51411000,720810470,,,
4676*71*2804,MTR1,49112747,31,46.35,0.468,875299,TMW*CONS*SALECNS,1,8:51:01 PM,,876686,956 713 4275,VSAL,CF.CANCEL,43025807,4,1,198.67,22.18,184.79,vestibulum ante,duis consequat dui nec,pellentesque viverra,64.44,179.62,57.02,100,Ives,Feighry,371-523-1514,180374,2.1,293.2,39.7,133.26,331.71,315.79,128.01,CASH,D.,2599973208900946,,2527*25*1294,ALAN SMITHER,234415415,UNDA,,24131,ALAN,SMITHER,29208 Valley Edge Place,Minneapolis,Minnesota,79476,180488,797216827*8,,,1:11 PM,6:01 PM,9:07 PM,BCRD,157.87,5,E,,390693******6542,UPS,UPS,UPS,302972898325,931505380291,1680022968443,E,95,,,,JCMV685550241709,YULO718879462672,XCTP710830952866,$,$,%,16.49,16.74,24.99,1,2,1,,MMTY,MMUV,MMTY,1,1,1,1,1,1,157127299,497191972,555977541,,,
3634*20*2562,MTR1,25281581,175,11.11,0.175,791568,TMW*CONS*SALECNS,1,3:02:26 PM,,817636,141 491 7994,VSAL,CF.CANCEL,36235370,3,1,132.69,99.17,126.56,diam erat fermentum,parturient montes,vestibulum quam,117.92,39.27,104.11,100,Ashbey,Guillford,271-114-3195,180056,1.1,289.3,202.65,186.09,364.46,253.46,197.88,AMEX,D.D.,2759104696180064,,3951*75*8508,ERMIN BERTL,319096111,Ground,,26308,ERMIN,BERTL,6 Hagan Pass,New York City,New York,74319,180173,756432629*2,,,9:31 AM,11:21 AM,6:40 PM,AMEX,140.24,5,E,,985386******2676,UPS,UPS,UPS,408541926221,721209215412,1589072131238,E,0,,,,YXZR491209512813,XPBV156812480345,CLID909919190658,$,%,$,20.65,29.82,19.88,1,2,1,,ANUB,MMUV,MMTY,1,1,1,1,1,1,376643706,720810470,88078050,,,
